COUNTYFP,NEVER,RARELY,SUM OF NEVER & RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM OF ALWAYS AND FREQUNTLY,STATE
37055,0.028,0.005,0.033,0.102,0.194,0.671,0.865,NC
37057,0.058,0.085,0.143,0.169,0.134,0.554,0.688,NC
37059,0.074,0.067,0.141,0.037,0.14,0.681,0.821,NC
37061,0.068,0.044,0.112,0.143,0.126,0.62,0.746,NC
37063,0.017,0.014,0.031,0.033,0.104,0.832,0.936,NC
37065,0.021,0.037,0.058,0.055,0.184,0.703,0.887,NC
37067,0.02,0.022,0.042,0.068,0.183,0.706,0.889,NC
37069,0.038,0.03,0.068,0.061,0.127,0.745,0.872,NC
37071,0.038,0.079,0.117,0.054,0.197,0.632,0.829,NC
37073,0.008,0.022,0.03,0.19,0.21,0.57,0.78,NC
37075,0.095,0.072,0.167,0.096,0.236,0.502,0.738,NC
37077,0.042,0.033,0.075,0.082,0.107,0.736,0.843,NC
37079,0.072,0.061,0.133,0.127,0.24,0.501,0.741,NC
37081,0.04,0.055,0.095,0.117,0.199,0.588,0.787,NC
37083,0.014,0.007,0.021,0.068,0.2,0.711,0.911,NC
37085,0.031,0.069,0.1,0.06,0.129,0.711,0.84,NC
37087,0.077,0.039,0.116,0.03,0.188,0.666,0.854,NC
37089,0.014,0.028,0.042,0.042,0.201,0.715,0.916,NC
37091,0.02,0.007,0.027,0.06,0.217,0.696,0.913,NC
37093,0.009,0.047,0.056,0.092,0.236,0.616,0.852,NC
37095,0.133,0.03,0.163,0.08,0.259,0.498,0.757,NC
37097,0.08,0.051,0.131,0.106,0.219,0.544,0.763,NC
37099,0.077,0.065,0.142,0.067,0.176,0.616,0.792,NC
37101,0.032,0.022,0.054,0.113,0.151,0.682,0.833,NC
37103,0.064,0.051,0.115,0.208,0.233,0.445,0.678,NC
37105,0.066,0.102,0.168,0.081,0.115,0.636,0.751,NC
37107,0.109,0.041,0.15,0.112,0.228,0.51,0.738,NC
37109,0.029,0.09,0.119,0.084,0.234,0.563,0.797,NC
37111,0.075,0.114,0.189,0.105,0.143,0.563,0.706,NC
37113,0.153,0.039,0.192,0.085,0.182,0.541,0.723,NC
37115,0.016,0.034,0.05,0.08,0.178,0.692,0.87,NC
37117,0.084,0.089,0.173,0.071,0.15,0.605,0.755,NC
37119,0.029,0.037,0.066,0.075,0.166,0.694,0.86,NC
37121,0.096,0.035,0.131,0.146,0.154,0.569,0.723,NC
37123,0.027,0.056,0.083,0.078,0.184,0.655,0.839,NC
37125,0.039,0.105,0.144,0.041,0.237,0.578,0.815,NC
37127,0.044,0.032,0.076,0.038,0.212,0.673,0.885,NC
37129,0.019,0.032,0.051,0.032,0.25,0.667,0.917,NC
37131,0.017,0.003,0.02,0.067,0.201,0.712,0.913,NC
37133,0.039,0.039,0.078,0.159,0.254,0.509,0.763,NC
37135,0.01,0.02,0.03,0.028,0.142,0.801,0.943,NC
37137,0.036,0.057,0.093,0.181,0.243,0.482,0.725,NC
37139,0.067,0.021,0.088,0.11,0.238,0.563,0.801,NC
37141,0.05,0.035,0.085,0.142,0.169,0.603,0.772,NC
37143,0.036,0.014,0.05,0.154,0.299,0.498,0.797,NC
37145,0.01,0.008,0.018,0.07,0.166,0.746,0.912,NC
37147,0.034,0.065,0.099,0.085,0.204,0.612,0.816,NC
37149,0.018,0.115,0.133,0.105,0.263,0.499,0.762,NC
37151,0.066,0.078,0.144,0.105,0.138,0.613,0.751,NC
37153,0.05,0.039,0.089,0.145,0.153,0.612,0.765,NC
37155,0.062,0.031,0.093,0.116,0.165,0.626,0.791,NC
37157,0.125,0.094,0.219,0.124,0.111,0.546,0.657,NC
37159,0.086,0.065,0.151,0.131,0.175,0.542,0.717,NC
37161,0.045,0.17,0.215,0.098,0.156,0.532,0.688,NC
37163,0.006,0.005,0.011,0.084,0.197,0.708,0.905,NC
37165,0.137,0.029,0.166,0.178,0.199,0.458,0.657,NC
37167,0.029,0.083,0.112,0.097,0.217,0.574,0.791,NC
37169,0.015,0.034,0.049,0.116,0.247,0.588,0.835,NC
37171,0.019,0.041,0.06,0.1,0.382,0.458,0.84,NC
37173,0.079,0.061,0.14,0.086,0.247,0.528,0.775,NC
37175,0.025,0.013,0.038,0.047,0.224,0.691,0.915,NC
37177,0.054,0.016,0.07,0.103,0.301,0.527,0.828,NC
37179,0.06,0.045,0.105,0.067,0.213,0.615,0.828,NC
37181,0.042,0.031,0.073,0.137,0.159,0.631,0.79,NC
37183,0.015,0.02,0.035,0.07,0.168,0.727,0.895,NC
37185,0.027,0.024,0.051,0.105,0.158,0.686,0.844,NC
37187,0.113,0.053,0.166,0.057,0.301,0.476,0.777,NC
37189,0.062,0.01,0.072,0.072,0.363,0.493,0.856,NC
37191,0.017,0.018,0.035,0.09,0.132,0.744,0.876,NC
37193,0.046,0.071,0.117,0.164,0.208,0.511,0.719,NC
37195,0.013,0.067,0.08,0.081,0.248,0.59,0.838,NC
37197,0.073,0.027,0.1,0.08,0.199,0.621,0.82,NC
37199,0.028,0.019,0.047,0.063,0.224,0.665,0.889,NC
MAX,0.179,0.17,0.222,0.212,0.382,0.832,0.943,NC
MIN,0.006,0.003,0.011,0.028,0.104,0.445,0.657,NC
AVERAGE,0.05378,0.04656,0.10034,0.09803,0.19832,0.60331,0.80163,NC
38001,0.219,0.166,0.385,0.189,0.233,0.193,0.426,ND
38003,0.111,0.079,0.19,0.137,0.248,0.425,0.673,ND
38005,0.289,0.194,0.483,0.118,0.195,0.204,0.399,ND
38007,0.2,0.201,0.401,0.137,0.244,0.218,0.462,ND
38009,0.206,0.119,0.325,0.142,0.259,0.274,0.533,ND
38011,0.188,0.141,0.329,0.146,0.262,0.263,0.525,ND
38013,0.191,0.147,0.338,0.151,0.258,0.253,0.511,ND
38015,0.172,0.233,0.405,0.091,0.297,0.207,0.504,ND
38017,0.09,0.113,0.203,0.142,0.233,0.423,0.656,ND
38019,0.146,0.272,0.418,0.165,0.222,0.195,0.417,ND
38021,0.151,0.077,0.228,0.227,0.277,0.267,0.544,ND
38023,0.186,0.168,0.354,0.163,0.255,0.227,0.482,ND
38025,0.195,0.189,0.384,0.125,0.252,0.239,0.491,ND
38027,0.269,0.159,0.428,0.117,0.209,0.246,0.455,ND
38029,0.16,0.221,0.381,0.094,0.302,0.222,0.524,ND
38031,0.265,0.081,0.346,0.081,0.27,0.304,0.574,ND
38033,0.187,0.206,0.393,0.149,0.256,0.203,0.459,ND
38035,0.097,0.122,0.219,0.222,0.253,0.305,0.558,ND
38037,0.177,0.233,0.41,0.125,0.275,0.19,0.465,ND
38039,0.162,0.054,0.216,0.197,0.217,0.37,0.587,ND
38041,0.218,0.207,0.425,0.15,0.232,0.193,0.425,ND
38043,0.193,0.206,0.399,0.074,0.301,0.226,0.527,ND
38045,0.115,0.07,0.185,0.193,0.307,0.315,0.622,ND
38047,0.172,0.156,0.328,0.104,0.295,0.272,0.567,ND
38049,0.206,0.132,0.338,0.124,0.263,0.275,0.538,ND
38051,0.169,0.128,0.297,0.136,0.275,0.291,0.566,ND
38053,0.19,0.182,0.372,0.142,0.253,0.232,0.485,ND
38055,0.189,0.185,0.374,0.107,0.273,0.246,0.519,ND
38057,0.189,0.197,0.386,0.111,0.266,0.237,0.503,ND
38059,0.172,0.235,0.407,0.096,0.293,0.205,0.498,ND
38061,0.192,0.16,0.352,0.134,0.258,0.256,0.514,ND
38063,0.133,0.183,0.316,0.193,0.218,0.274,0.492,ND
38065,0.181,0.217,0.398,0.102,0.28,0.221,0.501,ND
38067,0.08,0.216,0.296,0.202,0.256,0.247,0.503,ND
38069,0.253,0.136,0.389,0.12,0.246,0.246,0.492,ND
38071,0.242,0.25,0.492,0.138,0.175,0.195,0.37,ND
38073,0.073,0.114,0.187,0.223,0.236,0.354,0.59,ND
38075,0.193,0.13,0.323,0.141,0.262,0.274,0.536,ND
38077,0.155,0.174,0.329,0.189,0.116,0.366,0.482,ND
38079,0.248,0.154,0.402,0.135,0.235,0.228,0.463,ND
38081,0.081,0.163,0.244,0.249,0.251,0.257,0.508,ND
38083,0.203,0.186,0.389,0.091,0.285,0.235,0.52,ND
38085,0.157,0.228,0.385,0.108,0.295,0.211,0.506,ND
38087,0.217,0.179,0.396,0.142,0.246,0.215,0.461,ND
38089,0.207,0.205,0.412,0.129,0.24,0.219,0.459,ND
38091,0.172,0.061,0.233,0.302,0.182,0.283,0.465,ND
38093,0.202,0.053,0.255,0.076,0.314,0.354,0.668,ND
38095,0.263,0.232,0.495,0.127,0.198,0.18,0.378,ND
38097,0.144,0.115,0.259,0.205,0.233,0.303,0.536,ND
38099,0.087,0.181,0.268,0.208,0.253,0.271,0.524,ND
38101,0.195,0.138,0.333,0.127,0.263,0.276,0.539,ND
38103,0.254,0.163,0.417,0.083,0.275,0.226,0.501,ND
MAX,0.289,0.272,0.495,0.302,0.314,0.425,0.673,ND
MIN,0.073,0.053,0.185,0.074,0.116,0.18,0.37,ND
AVERAGE,0.180884615,0.163673077,0.344557692,0.14575,0.251769231,0.257903846,0.509673077,ND
38105,0.186,0.182,0.368,0.155,0.254,0.223,0.477,OH
39001,0.074,0.116,0.19,0.149,0.222,0.439,0.661,OH
39003,0.085,0.104,0.189,0.114,0.382,0.314,0.696,OH
39005,0.068,0.035,0.103,0.268,0.19,0.438,0.628,OH
39007,0.144,0.008,0.152,0.099,0.257,0.492,0.749,OH
39009,0.071,0.115,0.186,0.164,0.236,0.413,0.649,OH
39011,0.131,0.089,0.22,0.153,0.342,0.285,0.627,OH
39013,0.082,0.086,0.168,0.118,0.25,0.464,0.714,OH
39015,0.177,0.177,0.354,0.101,0.128,0.417,0.545,OH
39017,0.047,0.072,0.119,0.106,0.244,0.531,0.775,OH
39019,0.147,0.261,0.408,0.052,0.15,0.39,0.54,OH
39021,0.084,0.051,0.135,0.274,0.269,0.321,0.59,OH
39023,0.066,0.027,0.093,0.19,0.247,0.471,0.718,OH
39025,0.082,0.069,0.151,0.074,0.192,0.584,0.776,OH
39027,0.171,0.198,0.369,0.071,0.105,0.455,0.56,OH
39029,0.098,0.08,0.178,0.115,0.156,0.551,0.707,OH
39031,0.077,0.194,0.271,0.294,0.178,0.258,0.436,OH
39033,0.101,0.107,0.208,0.126,0.184,0.482,0.666,OH
39035,0.042,0.052,0.094,0.084,0.213,0.609,0.822,OH
39037,0.216,0.084,0.3,0.15,0.28,0.271,0.551,OH
39039,0.052,0.114,0.166,0.152,0.221,0.462,0.683,OH
39041,0.018,0.081,0.099,0.084,0.177,0.64,0.817,OH
39043,0.078,0.022,0.1,0.091,0.179,0.63,0.809,OH
39045,0.1,0.095,0.195,0.135,0.142,0.527,0.669,OH
39047,0.157,0.055,0.212,0.328,0.158,0.302,0.46,OH
39049,0.042,0.054,0.096,0.09,0.198,0.617,0.815,OH
39051,0.029,0.046,0.075,0.318,0.272,0.335,0.607,OH
39053,0.074,0.082,0.156,0.203,0.178,0.463,0.641,OH
39055,0.03,0.057,0.087,0.064,0.218,0.631,0.849,OH
39057,0.041,0.082,0.123,0.095,0.264,0.519,0.783,OH
39059,0.101,0.162,0.263,0.137,0.181,0.419,0.6,OH
39061,0.069,0.056,0.125,0.102,0.224,0.549,0.773,OH
39063,0.076,0.127,0.203,0.122,0.302,0.373,0.675,OH
39065,0.149,0.121,0.27,0.134,0.227,0.368,0.595,OH
39067,0.107,0.141,0.248,0.153,0.233,0.365,0.598,OH
39069,0.038,0.111,0.149,0.189,0.197,0.465,0.662,OH
39071,0.157,0.144,0.301,0.068,0.162,0.468,0.63,OH
39073,0.169,0.137,0.306,0.21,0.104,0.38,0.484,OH
39075,0.05,0.087,0.137,0.134,0.271,0.457,0.728,OH
39077,0.191,0.064,0.255,0.204,0.172,0.369,0.541,OH
39079,0.166,0.141,0.307,0.247,0.105,0.341,0.446,OH
39081,0.076,0.142,0.218,0.152,0.209,0.42,0.629,OH
39083,0.138,0.1,0.238,0.065,0.17,0.526,0.696,OH
39085,0.067,0.039,0.106,0.104,0.246,0.544,0.79,OH
39087,0.089,0.097,0.186,0.185,0.23,0.399,0.629,OH
39089,0.056,0.102,0.158,0.176,0.127,0.539,0.666,OH
39091,0.136,0.117,0.253,0.314,0.248,0.186,0.434,OH
39093,0.089,0.097,0.186,0.099,0.207,0.508,0.715,OH
39095,0.078,0.056,0.134,0.111,0.189,0.566,0.755,OH
39097,0.037,0.087,0.124,0.167,0.262,0.447,0.709,OH
39099,0.046,0.099,0.145,0.099,0.231,0.525,0.756,OH
39101,0.084,0.18,0.264,0.115,0.159,0.462,0.621,OH
39103,0.068,0.077,0.145,0.125,0.227,0.503,0.73,OH
39105,0.072,0.137,0.209,0.182,0.177,0.432,0.609,OH
39107,0.102,0.105,0.207,0.245,0.314,0.233,0.547,OH
39109,0.077,0.07,0.147,0.19,0.227,0.436,0.663,OH
39111,0.04,0.144,0.184,0.139,0.291,0.386,0.677,OH
39113,0.041,0.065,0.106,0.065,0.222,0.607,0.829,OH
39115,0.142,0.114,0.256,0.153,0.259,0.332,0.591,OH
39117,0.059,0.094,0.153,0.075,0.31,0.462,0.772,OH
39119,0.136,0.145,0.281,0.121,0.182,0.416,0.598,OH
39121,0.109,0.176,0.285,0.139,0.219,0.357,0.576,OH
39123,0.052,0.035,0.087,0.084,0.219,0.609,0.828,OH
39125,0.095,0.061,0.156,0.24,0.314,0.29,0.604,OH
39127,0.138,0.149,0.287,0.214,0.19,0.309,0.499,OH
39129,0.067,0.087,0.154,0.092,0.244,0.51,0.754,OH
39131,0.186,0.124,0.31,0.124,0.158,0.409,0.567,OH
39133,0.028,0.078,0.106,0.126,0.213,0.555,0.768,OH
39135,0.045,0.146,0.191,0.186,0.248,0.375,0.623,OH
39137,0.041,0.118,0.159,0.253,0.307,0.28,0.587,OH
39139,0.066,0.08,0.146,0.213,0.221,0.419,0.64,OH
39141,0.181,0.103,0.284,0.101,0.168,0.447,0.615,OH
39143,0.139,0.074,0.213,0.109,0.209,0.469,0.678,OH
39145,0.121,0.096,0.217,0.242,0.156,0.387,0.543,OH
39147,0.119,0.195,0.314,0.243,0.164,0.279,0.443,OH
39149,0.182,0.119,0.301,0.216,0.283,0.2,0.483,OH
39151,0.065,0.11,0.175,0.102,0.198,0.525,0.723,OH
39153,0.048,0.056,0.104,0.125,0.207,0.565,0.772,OH
39155,0.054,0.059,0.113,0.121,0.23,0.535,0.765,OH
39157,0.126,0.204,0.33,0.116,0.215,0.339,0.554,OH
39159,0.175,0.018,0.193,0.099,0.245,0.463,0.708,OH
39161,0.069,0.084,0.153,0.223,0.412,0.212,0.624,OH
39163,0.09,0.165,0.255,0.218,0.147,0.38,0.527,OH
39165,0.062,0.044,0.106,0.085,0.162,0.647,0.809,OH
39167,0.072,0.121,0.193,0.142,0.29,0.375,0.665,OH
39169,0.064,0.082,0.146,0.144,0.245,0.466,0.711,OH
39171,0.035,0.133,0.168,0.199,0.208,0.425,0.633,OH
39173,0.029,0.061,0.09,0.086,0.252,0.572,0.824,OH
39175,0.1,0.201,0.301,0.138,0.135,0.426,0.561,OH
MAX,0.216,0.261,0.408,0.328,0.412,0.647,0.849,OH
MIN,0.018,0.008,0.075,0.052,0.104,0.186,0.434,OH
AVERAGE,0.092516854,0.102606742,0.195123596,0.150325843,0.218089888,0.436426966,0.654516854,OH
40001,0.105,0.068,0.173,0.258,0.213,0.356,0.569,OK
40003,0.203,0.096,0.299,0.188,0.25,0.262,0.512,OK
40005,0.076,0.184,0.26,0.111,0.284,0.345,0.629,OK
40007,0.153,0.154,0.307,0.085,0.223,0.384,0.607,OK
40009,0.088,0.265,0.353,0.187,0.121,0.339,0.46,OK
40011,0.029,0.081,0.11,0.244,0.32,0.326,0.646,OK
40013,0.094,0.087,0.181,0.125,0.237,0.457,0.694,OK
40015,0.013,0.111,0.124,0.194,0.239,0.444,0.683,OK
40017,0.043,0.073,0.116,0.103,0.309,0.472,0.781,OK
40019,0.128,0.169,0.297,0.138,0.213,0.351,0.564,OK
40021,0.099,0.121,0.22,0.212,0.24,0.327,0.567,OK
40023,0.064,0.113,0.177,0.119,0.251,0.454,0.705,OK
40025,0.14,0.089,0.229,0.153,0.26,0.358,0.618,OK
40027,0.046,0.101,0.147,0.079,0.25,0.524,0.774,OK
40029,0.075,0.12,0.195,0.105,0.307,0.394,0.701,OK
40031,0.054,0.179,0.233,0.127,0.226,0.413,0.639,OK
40033,0.06,0.117,0.177,0.102,0.173,0.548,0.721,OK
40035,0.247,0.113,0.36,0.236,0.112,0.292,0.404,OK
40037,0.154,0.074,0.228,0.145,0.212,0.415,0.627,OK
40039,0.006,0.274,0.28,0.413,0.13,0.177,0.307,OK
40041,0.188,0.187,0.375,0.202,0.107,0.316,0.423,OK
40043,0.066,0.185,0.251,0.286,0.219,0.244,0.463,OK
40045,0.132,0.22,0.352,0.135,0.207,0.306,0.513,OK
40047,0.233,0.103,0.336,0.127,0.28,0.258,0.538,OK
40049,0.075,0.087,0.162,0.157,0.249,0.433,0.682,OK
40051,0.047,0.098,0.145,0.185,0.249,0.422,0.671,OK
40053,0.205,0.136,0.341,0.145,0.255,0.257,0.512,OK
40055,0.073,0.19,0.263,0.148,0.225,0.365,0.59,OK
40057,0.105,0.158,0.263,0.16,0.239,0.338,0.577,OK
40059,0.158,0.189,0.347,0.118,0.257,0.278,0.535,OK
40061,0.146,0.09,0.236,0.203,0.258,0.303,0.561,OK
40063,0.089,0.037,0.126,0.146,0.213,0.514,0.727,OK
40065,0.021,0.127,0.148,0.148,0.291,0.411,0.702,OK
40067,0.084,0.108,0.192,0.163,0.14,0.505,0.645,OK
40069,0.088,0.137,0.225,0.157,0.244,0.374,0.618,OK
40071,0.099,0.12,0.219,0.135,0.225,0.419,0.644,OK
40073,0.046,0.093,0.139,0.05,0.192,0.619,0.811,OK
40075,0.025,0.19,0.215,0.131,0.239,0.415,0.654,OK
40077,0.159,0.136,0.295,0.184,0.277,0.245,0.522,OK
40079,0.142,0.152,0.294,0.156,0.196,0.354,0.55,OK
40081,0.135,0.103,0.238,0.204,0.222,0.337,0.559,OK
40083,0.03,0.027,0.057,0.114,0.31,0.519,0.829,OK
40085,0.188,0.08,0.268,0.103,0.195,0.435,0.63,OK
40087,0.092,0.099,0.191,0.068,0.197,0.545,0.742,OK
40089,0.131,0.141,0.272,0.117,0.187,0.423,0.61,OK
40091,0.085,0.057,0.142,0.265,0.221,0.373,0.594,OK
40093,0.169,0.072,0.241,0.212,0.285,0.261,0.546,OK
40095,0.13,0.074,0.204,0.114,0.256,0.425,0.681,OK
40097,0.173,0.175,0.348,0.213,0.135,0.303,0.438,OK
40099,0.042,0.154,0.196,0.247,0.218,0.34,0.558,OK
40101,0.063,0.088,0.151,0.262,0.198,0.388,0.586,OK
40103,0.069,0.085,0.154,0.1,0.253,0.493,0.746,OK
40105,0.148,0.121,0.269,0.164,0.181,0.386,0.567,OK
40107,0.112,0.035,0.147,0.241,0.193,0.419,0.612,OK
40109,0.096,0.064,0.16,0.097,0.225,0.518,0.743,OK
40111,0.078,0.052,0.13,0.204,0.276,0.39,0.666,OK
40113,0.077,0.103,0.18,0.23,0.218,0.372,0.59,OK
40115,0.154,0.13,0.284,0.229,0.151,0.337,0.488,OK
40117,0.178,0.085,0.263,0.159,0.213,0.365,0.578,OK
40119,0.083,0.068,0.151,0.129,0.207,0.514,0.721,OK
40121,0.117,0.112,0.229,0.153,0.36,0.258,0.618,OK
40123,0.029,0.033,0.062,0.102,0.235,0.601,0.836,OK
40125,0.042,0.052,0.094,0.278,0.236,0.392,0.628,OK
40127,0.077,0.152,0.229,0.122,0.261,0.388,0.649,OK
40129,0.109,0.248,0.357,0.192,0.091,0.36,0.451,OK
40131,0.097,0.105,0.202,0.164,0.201,0.433,0.634,OK
40133,0.095,0.034,0.129,0.225,0.169,0.478,0.647,OK
40135,0.106,0.11,0.216,0.209,0.212,0.362,0.574,OK
40137,0.041,0.088,0.129,0.21,0.286,0.375,0.661,OK
40139,0.123,0.12,0.243,0.102,0.225,0.43,0.655,OK
40141,0.042,0.142,0.184,0.11,0.225,0.48,0.705,OK
40143,0.074,0.061,0.135,0.141,0.243,0.482,0.725,OK
40145,0.032,0.112,0.144,0.175,0.306,0.375,0.681,OK
40147,0.118,0.183,0.301,0.162,0.192,0.345,0.537,OK
40149,0.024,0.256,0.28,0.243,0.164,0.313,0.477,OK
40151,0.165,0.116,0.281,0.166,0.281,0.272,0.553,OK
40153,0.146,0.232,0.378,0.145,0.247,0.229,0.476,OK
MAX,0.247,0.274,0.378,0.413,0.36,0.619,0.836,OK
MIN,0.006,0.027,0.057,0.05,0.091,0.177,0.307,OK
AVERAGE,0.100363636,0.120792208,0.221155844,0.166636364,0.226064935,0.386103896,0.612168831,OK
41001,0.051,0.189,0.24,0.179,0.189,0.392,0.581,OR
41003,0.007,0.007,0.014,0.059,0.156,0.77,0.926,OR
41005,0.016,0.024,0.04,0.071,0.168,0.721,0.889,OR
41007,0.052,0.027,0.079,0.051,0.073,0.797,0.87,OR
41009,0.048,0.015,0.063,0.158,0.174,0.604,0.778,OR
41011,0.128,0.061,0.189,0.136,0.099,0.577,0.676,OR
41013,0.019,0.075,0.094,0.027,0.246,0.633,0.879,OR
41015,0.025,0.058,0.083,0.1,0.162,0.655,0.817,OR
41017,0.01,0.061,0.071,0.014,0.25,0.666,0.916,OR
41019,0.082,0.052,0.134,0.116,0.239,0.511,0.75,OR
41021,0.008,0.003,0.011,0.049,0.332,0.607,0.939,OR
41023,0.014,0.062,0.076,0.132,0.12,0.671,0.791,OR
41025,0.032,0.099,0.131,0.114,0.157,0.598,0.755,OR
41027,0.03,0.071,0.101,0.127,0.162,0.61,0.772,OR
41029,0.044,0.077,0.121,0.075,0.138,0.665,0.803,OR
41031,0.018,0.062,0.08,0.012,0.25,0.657,0.907,OR
41033,0.028,0.056,0.084,0.072,0.192,0.652,0.844,OR
41035,0.097,0.031,0.128,0.062,0.227,0.583,0.81,OR
41037,0.05,0.017,0.067,0.127,0.247,0.558,0.805,OR
41039,0.031,0.036,0.067,0.077,0.137,0.719,0.856,OR
41041,0.001,0.012,0.013,0.047,0.131,0.81,0.941,OR
41043,0.057,0.025,0.082,0.096,0.159,0.664,0.823,OR
41045,0.071,0.206,0.277,0.213,0.206,0.305,0.511,OR
41047,0.029,0.013,0.042,0.053,0.196,0.71,0.906,OR
41049,0.026,0.004,0.03,0.083,0.197,0.69,0.887,OR
41051,0.013,0.016,0.029,0.054,0.178,0.738,0.916,OR
41053,0.013,0.022,0.035,0.078,0.242,0.645,0.887,OR
41055,0.008,0.014,0.022,0.046,0.271,0.66,0.931,OR
41057,0.125,0.04,0.165,0.092,0.163,0.581,0.744,OR
41059,0.043,0.01,0.053,0.081,0.155,0.71,0.865,OR
41061,0.034,0.088,0.122,0.086,0.189,0.603,0.792,OR
41063,0.041,0.083,0.124,0.146,0.229,0.501,0.73,OR
41065,0.019,0.034,0.053,0.069,0.197,0.681,0.878,OR
41067,0.006,0.009,0.015,0.059,0.169,0.756,0.925,OR
41069,0.023,0.07,0.093,0.049,0.232,0.626,0.858,OR
41071,0.021,0.035,0.056,0.072,0.143,0.729,0.872,OR
MAX,0.128,0.206,0.277,0.213,0.332,0.81,0.941,OR
MIN,0.001,0.003,0.011,0.012,0.073,0.305,0.511,OR
AVERAGE,0.036666667,0.049,0.085666667,0.085611111,0.188194444,0.640416667,0.828611111,OR
42001,0.039,0.034,0.073,0.083,0.238,0.606,0.844,PA
42003,0.017,0.022,0.039,0.035,0.165,0.761,0.926,PA
42005,0.027,0.074,0.101,0.159,0.173,0.568,0.741,PA
42007,0.015,0.023,0.038,0.1,0.137,0.725,0.862,PA
42009,0.014,0.111,0.125,0.1,0.205,0.57,0.775,PA
42011,0.036,0.012,0.048,0.06,0.174,0.719,0.893,PA
42013,0.041,0.132,0.173,0.083,0.249,0.495,0.744,PA
42015,0.042,0.017,0.059,0.051,0.194,0.697,0.891,PA
42017,0.014,0.018,0.032,0.032,0.131,0.805,0.936,PA
42019,0.035,0.062,0.097,0.062,0.194,0.647,0.841,PA
42021,0.026,0.062,0.088,0.153,0.228,0.53,0.758,PA
42023,0.147,0.014,0.161,0.048,0.142,0.649,0.791,PA
42025,0.013,0.062,0.075,0.015,0.145,0.764,0.909,PA
42027,0.017,0.013,0.03,0.076,0.101,0.792,0.893,PA
42029,0.006,0.022,0.028,0.038,0.113,0.82,0.933,PA
42031,0.057,0.03,0.087,0.152,0.155,0.605,0.76,PA
42033,0.051,0.055,0.106,0.176,0.206,0.512,0.718,PA
42035,0.014,0.024,0.038,0.077,0.19,0.696,0.886,PA
42037,0.02,0.046,0.066,0.05,0.163,0.721,0.884,PA
42039,0.024,0.016,0.04,0.136,0.266,0.558,0.824,PA
42041,0.031,0.032,0.063,0.183,0.192,0.562,0.754,PA
42043,0.032,0.023,0.055,0.258,0.147,0.539,0.686,PA
42045,0.01,0.01,0.02,0.044,0.123,0.814,0.937,PA
42047,0.055,0.016,0.071,0.084,0.15,0.695,0.845,PA
42049,0.016,0.025,0.041,0.057,0.136,0.766,0.902,PA
42051,0.053,0.064,0.117,0.144,0.161,0.578,0.739,PA
42053,0.016,0.008,0.024,0.158,0.196,0.622,0.818,PA
42055,0.023,0.04,0.063,0.082,0.248,0.607,0.855,PA
42057,0.013,0.145,0.158,0.053,0.23,0.559,0.789,PA
42059,0.104,0.11,0.214,0.187,0.124,0.475,0.599,PA
42061,0.07,0.06,0.13,0.155,0.232,0.483,0.715,PA
42063,0.015,0.047,0.062,0.066,0.22,0.652,0.872,PA
42065,0.083,0.046,0.129,0.142,0.197,0.531,0.728,PA
42067,0.065,0.068,0.133,0.093,0.214,0.56,0.774,PA
42069,0.007,0.006,0.013,0.039,0.106,0.843,0.949,PA
42071,0.037,0.013,0.05,0.054,0.172,0.724,0.896,PA
42073,0.034,0.07,0.104,0.093,0.301,0.503,0.804,PA
42075,0.026,0.008,0.034,0.062,0.178,0.725,0.903,PA
42077,0.014,0.004,0.018,0.053,0.103,0.826,0.929,PA
42079,0.016,0.024,0.04,0.045,0.136,0.779,0.915,PA
42081,0.062,0.057,0.119,0.06,0.207,0.614,0.821,PA
42083,0.012,0.004,0.016,0.03,0.134,0.82,0.954,PA
42085,0.028,0.044,0.072,0.094,0.215,0.62,0.835,PA
42087,0.084,0.049,0.133,0.129,0.171,0.567,0.738,PA
42089,0.019,0.047,0.066,0.052,0.061,0.822,0.883,PA
42091,0.016,0.019,0.035,0.044,0.16,0.761,0.921,PA
42093,0.042,0.022,0.064,0.079,0.143,0.714,0.857,PA
42095,0.015,0.012,0.027,0.034,0.118,0.822,0.94,PA
42097,0.064,0.013,0.077,0.078,0.197,0.649,0.846,PA
42099,0.035,0.017,0.052,0.1,0.199,0.649,0.848,PA
42101,0.023,0.012,0.035,0.051,0.12,0.794,0.914,PA
42103,0.01,0.013,0.023,0.036,0.165,0.777,0.942,PA
42105,0.061,0.011,0.072,0.061,0.12,0.747,0.867,PA
42107,0.066,0.002,0.068,0.048,0.173,0.711,0.884,PA
42109,0.062,0.036,0.098,0.104,0.226,0.572,0.798,PA
42111,0.041,0.04,0.081,0.188,0.267,0.464,0.731,PA
42113,0.025,0.035,0.06,0.038,0.141,0.76,0.901,PA
42115,0.046,0.029,0.075,0.038,0.065,0.822,0.887,PA
42117,0.098,0.044,0.142,0.111,0.183,0.565,0.748,PA
42119,0.078,0.032,0.11,0.103,0.211,0.576,0.787,PA
42121,0.004,0.015,0.019,0.115,0.152,0.714,0.866,PA
42123,0.009,0.019,0.028,0.114,0.224,0.634,0.858,PA
42125,0.052,0.02,0.072,0.045,0.149,0.735,0.884,PA
42127,0.004,0.009,0.013,0.08,0.08,0.828,0.908,PA
