COUNTYFP,NEVER,RARELY,SUM OF NEVER & RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM OF ALWAYS AND FREQUNTLY,STATE
8089,0.004,0.047,0.051,0.102,0.194,0.653,0.847,CO
8091,0.06,0.08,0.14,0.069,0.295,0.495,0.79,CO
8093,0.021,0.018,0.039,0.103,0.137,0.722,0.859,CO
8095,0.05,0.19,0.24,0.137,0.255,0.368,0.623,CO
8097,0.019,0.014,0.033,0.016,0.318,0.633,0.951,CO
8099,0.079,0.046,0.125,0.205,0.201,0.469,0.67,CO
8101,0.018,0.044,0.062,0.074,0.28,0.584,0.864,CO
8103,0.111,0.092,0.203,0.074,0.265,0.458,0.723,CO
8105,0.061,0.144,0.205,0.11,0.242,0.444,0.686,CO
8107,0.008,0.036,0.044,0.092,0.375,0.489,0.864,CO
8109,0.065,0.122,0.187,0.138,0.232,0.443,0.675,CO
8111,0.032,0.038,0.07,0.097,0.27,0.563,0.833,CO
8113,0.043,0.058,0.101,0.074,0.26,0.565,0.825,CO
8115,0.065,0.162,0.227,0.138,0.267,0.368,0.635,CO
8117,0,0.001,0.001,0.064,0.151,0.784,0.935,CO
8119,0.105,0.087,0.192,0.066,0.145,0.597,0.742,CO
8121,0.077,0.208,0.285,0.101,0.303,0.31,0.613,CO
8123,0.046,0.038,0.084,0.135,0.231,0.55,0.781,CO
8125,0.038,0.284,0.322,0.133,0.255,0.29,0.545,CO
MAX,0.113,0.323,0.347,0.205,0.403,0.785,0.956,CO
MIN,0,0.001,0.001,0.016,0.123,0.19,0.534,CO
AVERAGE,0.03915625,0.0719375,0.11109375,0.097265625,0.244328125,0.5474375,0.791765625,CO
9001,0.027,0.019,0.046,0.06,0.114,0.78,0.894,CT
9003,0.015,0.023,0.038,0.065,0.13,0.767,0.897,CT
9005,0.017,0.051,0.068,0.021,0.098,0.812,0.91,CT
9007,0.003,0.007,0.01,0.055,0.128,0.807,0.935,CT
9009,0.023,0.014,0.037,0.053,0.115,0.795,0.91,CT
9011,0.025,0.021,0.046,0.066,0.142,0.747,0.889,CT
9013,0.008,0.008,0.016,0.027,0.147,0.81,0.957,CT
9015,0.022,0.041,0.063,0.082,0.137,0.718,0.855,CT
MAX,0.027,0.051,0.068,0.082,0.147,0.812,0.957,CT
MIN,0.003,0.007,0.01,0.021,0.098,0.718,0.855,CT
AVERAGE,0.0175,0.023,0.0405,0.053625,0.126375,0.7795,0.905875,CT
10001,0.026,0.006,0.032,0.106,0.051,0.811,0.862,DE
10003,0.027,0.013,0.04,0.041,0.133,0.786,0.919,DE
10005,0.005,0.001,0.006,0.035,0.103,0.856,0.959,DE
MAX,0.027,0.013,0.04,0.106,0.133,0.856,0.959,DE
MIN,0.005,0.001,0.006,0.035,0.051,0.786,0.862,DE
AVERAGE,0.019333333,0.006666667,0.026,0.060666667,0.095666667,0.817666667,0.913333333,DE
11001,0.012,0.013,0.025,0.069,0.164,0.743,0.907,DC
MAX,0.012,0.013,0.025,0.069,0.164,0.743,0.907,DC
MIN,0.012,0.013,0.025,0.069,0.164,0.743,0.907,DC
AVERAGE,0.012,0.013,0.025,0.069,0.164,0.743,0.907,DC
12001,0.001,0.024,0.025,0.053,0.17,0.751,0.921,FL
12003,0.087,0.076,0.163,0.18,0.215,0.442,0.657,FL
12005,0.065,0.109,0.174,0.076,0.202,0.548,0.75,FL
12007,0.106,0.168,0.274,0.172,0.173,0.381,0.554,FL
12009,0.068,0.073,0.141,0.096,0.157,0.607,0.764,FL
12011,0.026,0.023,0.049,0.043,0.117,0.791,0.908,FL
12013,0.034,0.055,0.089,0.138,0.267,0.507,0.774,FL
12015,0.051,0.049,0.1,0.101,0.158,0.64,0.798,FL
12017,0.09,0.036,0.126,0.087,0.178,0.609,0.787,FL
12019,0.055,0.067,0.122,0.15,0.209,0.52,0.729,FL
12021,0.04,0.023,0.063,0.067,0.212,0.658,0.87,FL
12023,0.047,0.026,0.073,0.288,0.254,0.385,0.639,FL
12027,0.023,0.064,0.087,0.056,0.142,0.715,0.857,FL
12029,0.071,0.095,0.166,0.119,0.318,0.397,0.715,FL
12031,0.049,0.042,0.091,0.086,0.194,0.629,0.823,FL
12033,0.019,0.052,0.071,0.095,0.31,0.524,0.834,FL
12035,0.079,0.05,0.129,0.113,0.157,0.602,0.759,FL
12037,0.022,0.101,0.123,0.237,0.228,0.412,0.64,FL
12039,0.06,0.033,0.093,0.104,0.227,0.575,0.802,FL
12041,0.016,0.151,0.167,0.069,0.324,0.44,0.764,FL
12043,0.047,0.082,0.129,0.098,0.096,0.677,0.773,FL
12045,0.046,0.125,0.171,0.12,0.249,0.46,0.709,FL
12047,0.101,0.071,0.172,0.235,0.227,0.365,0.592,FL
12049,0.114,0.041,0.155,0.179,0.186,0.48,0.666,FL
12051,0.046,0.042,0.088,0.112,0.15,0.65,0.8,FL
12053,0.09,0.04,0.13,0.091,0.19,0.589,0.779,FL
12055,0.025,0.056,0.081,0.145,0.138,0.635,0.773,FL
12057,0.023,0.031,0.054,0.069,0.155,0.722,0.877,FL
12059,0.17,0.077,0.247,0.081,0.111,0.562,0.673,FL
12061,0.054,0.065,0.119,0.082,0.193,0.607,0.8,FL
12063,0.064,0.108,0.172,0.129,0.174,0.526,0.7,FL
12065,0.019,0.017,0.036,0.099,0.183,0.682,0.865,FL
12067,0.102,0.081,0.183,0.22,0.208,0.389,0.597,FL
12069,0.047,0.062,0.109,0.074,0.185,0.632,0.817,FL
12071,0.052,0.05,0.102,0.073,0.176,0.648,0.824,FL
12073,0.051,0.022,0.073,0.071,0.156,0.7,0.856,FL
12075,0.017,0.132,0.149,0.072,0.187,0.592,0.779,FL
12077,0.022,0.023,0.045,0.205,0.268,0.482,0.75,FL
12079,0.164,0.085,0.249,0.148,0.264,0.34,0.604,FL
12081,0.074,0.037,0.111,0.062,0.201,0.626,0.827,FL
12083,0.046,0.087,0.133,0.121,0.203,0.543,0.746,FL
12085,0.027,0.018,0.045,0.066,0.169,0.719,0.888,FL
12086,0.032,0.023,0.055,0.06,0.128,0.756,0.884,FL
12087,0.007,0.001,0.008,0.014,0.159,0.819,0.978,FL
12089,0.09,0.07,0.16,0.147,0.223,0.47,0.693,FL
12091,0.091,0.083,0.174,0.147,0.21,0.469,0.679,FL
12093,0.016,0.034,0.05,0.064,0.171,0.715,0.886,FL
